id	resource	problem	wikidata_id	id_wiki	wiki_address	label_en	description_english	description_german	commons_url	HDS ID	GND ID	date of birth	date of death	place of birth	coordinate_location_birth	place of death	coordinate location
228	/m/0sxg8hh		Bernhard von Kugler	Q96462	https://www.wikidata.org/wiki/Q96462	Bernhard von Kugler	German historian	deutscher Historiker	https://upload.wikimedia.org/wikipedia/commons/f/f3/Th_Jacob_-_Bernhard_von_Kugler_1900.jpg		101422911	1837-06-14T00:00:00Z	1898-04-07T00:00:00Z	Berlin	52.516666666667,13.383333333333	Tübingen	48.52,9.0555555555556
369	/m/0t5dch3		Theodor Schneider	Q62130455	https://www.wikidata.org/wiki/Q62130455	Theodor Schneider	Theodor Gustav Rudolf Schneider (also: Theodor Schneider-Preiswerk) was a Swiss physician and inventor.					1825-08-26T00:00:00Z	1902-01-24T00:00:00Z				
595	/m/0t4_x9j		Gerold Meyer von Knonau	Q1457630	https://www.wikidata.org/wiki/Q1457630	Gerold Meyer von Knonau	Swiss medievalist and archivist	Schweizer Historiker	https://upload.wikimedia.org/wikipedia/commons/4/40/Meyer_Knonau.JPG	16567	10157813X	1843-08-05T00:00:00Z	1931-03-16T00:00:00Z	Zürich	47.378611111111,8.54	Zürich	47.378611111111,8.54
227	/m/0v0zx_p		Fritz Göttisheim	Q1079607	https://www.wikidata.org/wiki/Q1079607	Fritz Göttisheim	Swiss politician	Schweizer Politiker	https://upload.wikimedia.org/wikipedia/commons/1/19/G%C3%B6ttisheim.jpg	4508	1016252978	1837-03-28T00:00:00Z	1896-07-12T00:00:00Z	Württemberg	48.7786,9.17944	Basel	47.550555555556,7.5911111111111
102941	/m/0103378h		Johann Jakob Im Hof	Q61993419	https://www.wikidata.org/wiki/Q61993419	Johann Jakob Im Hof	Councilman, Appellationsrat, member of the small Council of Basel-Stadt and president of the Basel Art Association				1016654308	1815-03-06T00:00:00Z	1900-06-07T00:00:00Z				
2191			Fritz von Fahrenheid	Q61992141	https://www.wikidata.org/wiki/Q61992141	Fritz von Fahrenheid	Prussian land owner and art collector				101669445	1815-10-31T00:00:00Z	1888-07-08T00:00:00Z				
2916	http://purl.org/net7/korbo2/ite/m/2916		Daniel Ludwig Iselin	Q63123167	https://www.wikidata.org/wiki/Q63123167	Daniel Ludwig Iselin	Banker (1827-1906)				1016950926	1827-01-01T00:00:00Z	1906-01-01T00:00:00Z				
761	/m/0w7swc7		Antonio Barzaghi-Cattaneo	Q599825	https://www.wikidata.org/wiki/Q599825	Antonio Barzaghi-Cattaneo	Swiss painter and restorer			22141	1017141851	1834-03-14T00:00:00Z	1922-10-29T00:00:00Z	Lugano	46.010277777778,8.9625	Paradiso	45.983333333333,8.95
																	45.98795,8.9483
569	/m/0sxhh2x		Karl Lendorff	Q61993420	https://www.wikidata.org/wiki/Q61993420	Karl Lendorff					1017535167	1830-01-01T00:00:00Z	1904-01-01T00:00:00Z				
2040	/m/0ddc8jk		Heinrich LXII, Prince Reuss Younger Line	Q73528	https://www.wikidata.org/wiki/Q73528	Heinrich LXII, Prince Reuss Younger Line	German prince	Fürst von Reuß-Schleiz und Fürst von Reuß jüngere Linie	https://upload.wikimedia.org/wikipedia/commons/8/87/Heinrich_LXII.jpg		1017768889	1785-05-31T00:00:00Z	1854-06-19T00:00:00Z	Schleiz	50.583333333333,11.816666666667	Gera	50.880555555556,12.083333333333
																	50.87818,12.08242
604	/m/0t5010z		Ludwig Sieber	Q55133418	https://www.wikidata.org/wiki/Q55133418	Ludwig Sieber					101785321	1833-01-01T00:00:00Z	1891-01-01T00:00:00Z				
605	/m/0t502y0		Cäcilia Stehlin-Merian	Q61993421	https://www.wikidata.org/wiki/Q61993421	Cäcilia Stehlin-Merian					1018362665	1835-01-01T00:00:00Z	1916-01-01T00:00:00Z				
756	/m/0w7s1by		Adelaide Pandiani Maraini	Q3605149	https://www.wikidata.org/wiki/Q3605149	Adelaide Pandiani Maraini	Swiss-Italian sculptor	schweizer-italienischer Bildhauer	https://upload.wikimedia.org/wikipedia/commons/e/e2/Adelaide_Pandiani_Erma.jpg	44617	1019359552	1836-06-30T00:00:00Z	1917-03-24T00:00:00Z	Milan	45.464161,9.190336	Rome	41.893055555556,12.482777777778
780	/m/0y4bj6p		Robert Ronus	Q61993422	https://www.wikidata.org/wiki/Q61993422	Robert Ronus					1020118024	1843-01-01T00:00:00Z	1901-01-01T00:00:00Z				
52674	http://purl.org/net7/korbo2/ite/m/52674		Robert Ronus	Q61993422	https://www.wikidata.org/wiki/Q61993422	Robert Ronus					1020118024	1843-01-01T00:00:00Z	1901-01-01T00:00:00Z				
81	/m/0t4zz0m		Karl Frey	Q62130457	https://www.wikidata.org/wiki/Q62130457	Karl Frey	Karl Frey (1848-1919) was a Swiss philologist, historian and educator.					1848-04-20T00:00:00Z	1919-08-14T00:00:00Z				
746	/m/0w41p97		Wilhelm Frey	Q1266255	https://www.wikidata.org/wiki/Q1266255	Wilhelm Frey	German painter				11678444X	1826-06-04T00:00:00Z	1911-02-04T00:00:00Z	Karlsruhe	49.016666666667,8.4	Mannheim	49.483611111111,8.4630555555556
												1826-06-24T00:00:00Z					
103144			Benjamin Buser	Q55680088	https://www.wikidata.org/wiki/Q55680088	Benjamin Buser					1021038679	1841-11-27T00:00:00Z	1886-03-16T00:00:00Z	Basel	47.550555555556,7.5911111111111	Basel	47.550555555556,7.5911111111111
103894			August Burckhardt	Q63108446	https://www.wikidata.org/wiki/Q63108446	August Burckhardt	Burckhardt, Ludwig August (1841-1915) what Julia Heussler's husband.				1021165050	1841-01-01T00:00:00Z	1915-01-01T00:00:00Z				
342	/m/0vmzp46		Gottlieb Burckhardt	Q5588059	https://www.wikidata.org/wiki/Q5588059	Gottlieb Burckhardt	Swiss psychiatrist		https://upload.wikimedia.org/wikipedia/commons/7/77/Gottlieb_Burckhardt_%281836-1907%29.jpg	14314	13061517X	1836-12-24T00:00:00Z	1907-02-06T00:00:00Z	Basel	47.550555555556,7.5911111111111	Basel	47.550555555556,7.5911111111111
1367	http://purl.org/net7/korbo2/ite/m/1367		Hans Heinrich Wägmann	Q15448602	https://www.wikidata.org/wiki/Q15448602	Hans Heinrich Wägmann	Swiss cartographer			19165	1021410217	1557-10-12T00:00:00Z	1628-01-01T00:00:00Z	Zürich	47.378611111111,8.54	Lucerne	47.0523,8.3059
103835			August Weckesser	Q764430	https://www.wikidata.org/wiki/Q764430	August Weckesser	Swiss painter			22693	1021410853	1821-11-28T00:00:00Z	1899-01-11T00:00:00Z	Töss	47.5,8.7	Rome	41.893055555556,12.482777777778
104159			Jules Delbet	Q61993423	https://www.wikidata.org/wiki/Q61993423	Jules Delbet	Jules Delbet (1836-1910) was a French doctor and took part in 1861 in an archaeological mission in Asia Minor.				102859366X	1836-01-01T00:00:00Z	1910-01-01T00:00:00Z				
1341	http://purl.org/net7/korbo2/ite/m/1341		Ernst Zacharias Platner	Q990955	https://www.wikidata.org/wiki/Q990955	Ernst Zacharias Platner	German artist		https://upload.wikimedia.org/wikipedia/commons/4/45/Platner_Ernst_Zacharias.jpg		103086609	1773-10-01T00:00:00Z	1855-10-14T00:00:00Z	Leipzig	51.333333333333,12.383333333333	Rome	41.893055555556,12.482777777778
1934	/m/0fs5gl		Carl Meissner	Q115909	https://www.wikidata.org/wiki/Q115909	Carl Meissner	Swiss botanist	Schweizer Botaniker	https://upload.wikimedia.org/wikipedia/commons/2/22/Acta_Horti_berg._-_1905_-_tafl._133_-_Carl_Friedrich_Meissner.jpg		103106553	1800-11-01T00:00:00Z	1874-05-02T00:00:00Z	Bern	46.94798,7.44743	Basel	47.550555555556,7.5911111111111
104398			Heinrich Falkner	Q63108447	https://www.wikidata.org/wiki/Q63108447	Heinrich Falkner	Heinrich Falkner (? -1282) was the builder and conductor of the monastery Klingental in Kleinbasel and came in 1271 from Uffholz at Thann (Alsace) to Basel.				1031290397		1282-01-01T00:00:00Z				
522	/m/0sxfysn		Luigi Guglielmo Cambray-Digny	Q939702	https://www.wikidata.org/wiki/Q939702	Luigi Guglielmo Cambray-Digny	Italian politician		https://upload.wikimedia.org/wikipedia/commons/6/65/Luigi_Guglielmo_Cambray-Digny.jpg		103129138	1820-04-08T00:00:00Z	1906-12-11T00:00:00Z	Florence	43.771388888889,11.254166666667	San Piero a Sieve	43.96,11.321666666667
584	/m/0t4_5qr		Ernst Wagner	Q1360482	https://www.wikidata.org/wiki/Q1360482	Ernst Wagner	German archaeologist and prehistorian	deutscher Prähistoriker	https://upload.wikimedia.org/wikipedia/commons/7/7d/Ernst_Wagner_Archaeologist.jpg		103148442	1832-04-05T00:00:00Z	1920-03-07T00:00:00Z	Karlsruhe	49.016666666667,8.4	Karlsruhe	49.016666666667,8.4
24	/m/0sxbzxm		Emma Brenner-Kron	Q61993424	https://www.wikidata.org/wiki/Q61993424	Emma Brenner-Kron	Friends with Jacob Burckhardt			12049	1033725366	1823-01-01T00:00:00Z	1875-01-01T00:00:00Z				
398	/m/0t5d2wl		Fanny Oschwald	Q59772504	https://www.wikidata.org/wiki/Q59772504	Fanny Oschwald	Swiss author					1840-11-30T00:00:00Z	1918-08-04T00:00:00Z	Lenzburg	47.3875,8.1802777777778	Basel	47.550555555556,7.5911111111111
375	/m/0v1gp6y		Gustav Schneeli	Q61993425	https://www.wikidata.org/wiki/Q61993425	Gustav Schneeli	Painter, Switzerland				1036870537	1872-11-12T00:00:00Z	1944-05-23T00:00:00Z				
732	/m/0w794dq		Carl Gustav Naumann	Q61993426	https://www.wikidata.org/wiki/Q61993426	Carl Gustav Naumann	German publisher, owner of «Druckerei C. G. Naumann (Leipzig)» known for his editions of Nietzsche's writings.				103754711X	1799-02-14T00:00:00Z	1862-11-14T00:00:00Z				
103529			Giovanni Gaye	Q1697543	https://www.wikidata.org/wiki/Q1697543	Giovanni Gaye	German art historian				10405672X	1804-11-08T00:00:00Z	1840-08-26T00:00:00Z	Tönning	54.317222222222,8.9427777777778	Florence	43.771388888889,11.254166666667
1206	http://purl.org/net7/korbo2/ite/m/1206		Desiderio da Settignano	Q954917	https://www.wikidata.org/wiki/Q954917	Desiderio da Settignano	Italian artist	italienischer Bildhauer	https://upload.wikimedia.org/wikipedia/commons/2/2f/062_le_vite%2C_desiderio_da_settignano.jpg		104079479	1430-01-01T00:00:00Z	1464-01-16T00:00:00Z	Settignano	43.8062,11.2466	Florence	43.771388888889,11.254166666667
															43.80087,11.33647		
102663			Heinrich Gelzer	Q124494	https://www.wikidata.org/wiki/Q124494	Heinrich Gelzer	German classical philologist and historian			27056	104123966	1847-07-01T00:00:00Z	1906-07-11T00:00:00Z	Berlin	52.516666666667,13.383333333333	Jena	50.927222222222,11.586388888889
1650	http://purl.org/net7/korbo2/ite/m/1650		Jules Auguste Naville	Q63126102	https://www.wikidata.org/wiki/Q63126102	Jules Auguste Naville	Auguste Jules Naville (1816-1878) was a Swiss agronomist.										
103046			Wilhelm Stier	Q1768837	https://www.wikidata.org/wiki/Q1768837	Wilhelm Stier	German architect				104136421	1799-05-08T00:00:00Z	1856-09-18T00:00:00Z	Błonie	52.2,20.616666666667	Berlin	52.516666666667,13.383333333333
															52.19849,20.61709		
104247			Konstantinos Hērokles Basiadēs	Q61993427	https://www.wikidata.org/wiki/Q61993427	Konstantinos Hērokles Basiadēs					1041765487	1821-03-29T00:00:00Z	1890-01-01T00:00:00Z				
104544			Mario Nicolis di Robilant	Q3848865	https://www.wikidata.org/wiki/Q3848865	Mario Nicolis di Robilant	Italian politician		https://upload.wikimedia.org/wikipedia/commons/c/c6/General_Di_Robilant_-_Italian_Military_Representative_on_the_Supreme_War_Council%2C_Versailles_Art.IWMART4211.jpg			1855-04-28T00:00:00Z	1943-07-23T00:00:00Z	Turin	45.066666666667,7.7	Rome	41.893055555556,12.482777777778
656	/m/0t5dvzy		Theophil Burckhardt-Biedermann	Q28026101	https://www.wikidata.org/wiki/Q28026101	Theophil Burckhardt-Biedermann			https://upload.wikimedia.org/wikipedia/commons/7/74/UBBasel_Portr_BS_Burckhardt_T_1840-2a.jpg		1043516239	1840-01-18T00:00:00Z	1914-05-26T00:00:00Z	Gelterkinden	47.465277777778,7.8527777777778	Basel	47.550555555556,7.5911111111111
722	/m/0w5mz05		Elisabeth von Heyking	Q99578	https://www.wikidata.org/wiki/Q99578	Elisabeth von Heyking	German author	deutsche Schriftstellerin und Malerin	https://upload.wikimedia.org/wikipedia/commons/5/57/Heyking_Elisabeth_von.jpg		104359080	1861-12-10T00:00:00Z	1925-01-04T00:00:00Z	Karlsruhe	49.016666666667,8.4	Berlin	52.516666666667,13.383333333333
103171	/m/010p04s4		Luigi Picchioni	Q61993428	https://www.wikidata.org/wiki/Q61993428	Luigi Picchioni	Professor of Italian at the University of Basel, leader of the Piedmontese uprisings in 1821				1044607378	1784-09-04T00:00:00Z	1869-02-09T00:00:00Z				
70	/m/0sxhdxv		Giuseppe Curti	Q61993429	https://www.wikidata.org/wiki/Q61993429	Giuseppe Curti	Ticino politician, Councilor and Councilor, educator and publicist			3546	1046076671	1811-01-01T00:00:00Z	1895-01-01T00:00:00Z				
1765	/m/0wztkwp		Pierre-Paul Both de Tauzia	Q63108428	https://www.wikidata.org/wiki/Q63108428	Pierre-Paul Both de Tauzia	Pierre-Paul Both de Tauzia (1823-1888) was a French curator and art collector				1046617680	1823-01-30T00:00:00Z	1888-07-19T00:00:00Z				
102962	/m/0y61jgl		Julius Stadler	Q23000744	https://www.wikidata.org/wiki/Q23000744	Julius Stadler			https://upload.wikimedia.org/wikipedia/commons/7/74/Julius_Stadler_1828-1904.jpg	19936	1047114631	1828-08-08T00:00:00Z	1904-11-26T00:00:00Z	Zürich	47.378611111111,8.54		
518	/m/0sxcm_x		Gottlieb Bischoff	Q62130458	https://www.wikidata.org/wiki/Q62130458	Gottlieb Bischoff	Gottlieb Bischoff (1820-1885) was a Swiss lawyer and civil servant and since his studies has been friends with the cultural historian Jacob Burckhardt.					1820-06-14T00:00:00Z	1867-03-17T00:00:00Z				
104231			Karl Burckhardt	Q1682802	https://www.wikidata.org/wiki/Q1682802	Karl Burckhardt	Swiss politician			4449	1048084752	1830-07-02T00:00:00Z	1893-08-24T00:00:00Z	Basel	47.550555555556,7.5911111111111	Basel	47.550555555556,7.5911111111111
568	/m/0sxhf63		Rudolf Falkner	Q55681773	https://www.wikidata.org/wiki/Q55681773	Rudolf Falkner	politician				1048085457	1827-11-23T00:00:00Z	1898-09-02T00:00:00Z	Basel	47.550555555556,7.5911111111111	Basel	47.550555555556,7.5911111111111
120	/m/0sxgx0p		Robert Grüninger	Q61993430	https://www.wikidata.org/wiki/Q61993430	Robert Grüninger	Basel Council			14800	1048339165	1849-01-01T00:00:00Z	1924-01-01T00:00:00Z				
1608	http://purl.org/net7/korbo2/ite/m/1608		Fridolin Roth	Q1456237	https://www.wikidata.org/wiki/Q1456237	Fridolin Roth	Swiss politician			32550	1049218604	1839-03-06T00:00:00Z	1920-02-16T00:00:00Z	Breitenbach	47.408333333333,7.5444444444444	Breitenbach	47.408333333333,7.5444444444444
															47.40652,7.55713		47.40652,7.55713
104943			Johann Jakob Trog	Q16832496	https://www.wikidata.org/wiki/Q16832496	Johann Jakob Trog	Swiss politician			3086	1049470532	1807-04-19T00:00:00Z	1867-01-07T00:00:00Z	Olten	47.353055555556,7.9077777777778		
104226			Friedrich Thomae	Q63108448	https://www.wikidata.org/wiki/Q63108448	Friedrich Thomae					1049570685	1842-01-01T00:00:00Z	1919-01-01T00:00:00Z				
2183			Leo von Klenze	Q60163	https://www.wikidata.org/wiki/Q60163	Leo von Klenze	German architect	deutscher Architekt, Maler und Schriftsteller	https://upload.wikimedia.org/wikipedia/commons/4/48/Leo_von_Klenze_2.jpg		118563211	1784-02-29T00:00:00Z	1864-01-26T00:00:00Z	Schladen	52.016666666667,10.533055555556	Munich	48.137194444444,11.5755
747	/m/0w7cg7t		Johann Jakob Schäppi	Q29024274	https://www.wikidata.org/wiki/Q29024274	Johann Jakob Schäppi					1051822653	1819-12-11T00:00:00Z	1908-04-05T00:00:00Z	Horgen	47.260833333333,8.5975	Zürich	47.378611111111,8.54
189	/m/0t5b980		Wilhelm Bäumer	Q2575153	https://www.wikidata.org/wiki/Q2575153	Wilhelm Bäumer	German architect, art historian and architectural historian				138683077	1829-04-18T00:00:00Z	1895-11-04T00:00:00Z	Ravensburg	47.783055555556,9.6113888888889	Strasbourg	48.573333333333,7.7522222222222
1663	http://purl.org/net7/korbo2/ite/m/1663		Johann Velten	Q63126103	https://www.wikidata.org/wiki/Q63126103	Johann Velten	Johann Velten, documented in 1881, has been running a court art shop in Karlsruhe since 1820 with a printing press, known as a «Lithographic-Artistic Institute»; also book and music dealer										
1398	http://purl.org/net7/korbo2/ite/m/1398		Karl Bormann	Q63122925	https://www.wikidata.org/wiki/Q63122925	Karl Bormann	Karl Bormann was a German teacher and civil servant. Among his friends were Franz Kugler and Theodor Fontane.				1053394179						
967	http://purl.org/net7/korbo2/ite/m/967		William Henry Goodyear	Q8012010	https://www.wikidata.org/wiki/Q8012010	William Henry Goodyear	American archaeologist, art historian, and museum curator	US-amerikanischer Archäologe und Kunsthistoriker	https://upload.wikimedia.org/wikipedia/commons/5/56/Portrait_of_W.H._Goodyear%2C_1916.jpg		1055149201	1846-01-01T00:00:00Z	1923-01-01T00:00:00Z	New Haven	41.308333333333,-72.925	New York City	40.67,-73.94
185	/m/0t5cc4t		Julius Kohte	Q28871868	https://www.wikidata.org/wiki/Q28871868	Julius Kohte					105517687X	1861-11-13T00:00:00Z	1945-11-14T00:00:00Z	Berlin	52.516666666667,13.383333333333	Mitwitz	50.248055555556,11.209722222222
2489	/m/0465xmq		John Chetwode Eustace	Q15453309	https://www.wikidata.org/wiki/Q15453309	John Chetwode Eustace	Anglo-Irish Catholic priest and antiquarian				1055177515	1762-01-01T00:00:00Z	1815-01-01T00:00:00Z				
63	/m/0vmzq2_		Placid Bütler	Q61993431	https://www.wikidata.org/wiki/Q61993431	Placid Bütler	Swiss historian and teacher				1055260188	1859-11-20T00:00:00Z	1928-08-03T00:00:00Z				
104153	/m/0_y2dcg		Eugen Schlief	Q61993432	https://www.wikidata.org/wiki/Q61993432	Eugen Schlief	"German jurist, lawyer and peace activist. Among his publications worth to be mentioned are a study on the North-American constitution and the essay ""Der Friede in Europa"" (1892)."				105526311X						
102681	/m/0y61f5j		Karl Georg Ludwig Guido von Usedom	Q1453756	https://www.wikidata.org/wiki/Q1453756	Karl Georg Ludwig Guido von Usedom					117321516	1805-07-17T00:00:00Z	1884-01-22T00:00:00Z	Hechingen	48.351666666667,8.9633333333333	Sanremo	43.821413888889,7.7865611111111
												1805-12-17T00:00:00Z					
51	/m/0t4zqy0		Ludwig Arnsperger	Q15440152	https://www.wikidata.org/wiki/Q15440152	Ludwig Arnsperger	German civil servant				116352493	1837-09-03T00:00:00Z	1907-07-17T00:00:00Z	Karlsruhe	49.016666666667,8.4	Karlsruhe	49.016666666667,8.4
347	/m/0sxhjgp		Alexander Schütz	Q62130459	https://www.wikidata.org/wiki/Q62130459	Alexander Schütz	Student of the Hanoverian Building Council C. W. Alexander Schütz (1847-1892) was a German architect and architectural historian.					1847-01-01T00:00:00Z	1892-01-01T00:00:00Z				
103912	/m/0_w3h5v	wrong freebase_id	Rothschild family	Q159386	https://www.wikidata.org/wiki/Q159386	Rothschild family	family descending from Mayer Amschel Rothschild	Adelsgeschlecht	https://upload.wikimedia.org/wikipedia/commons/e/e7/Das_Welthaus_Rothschild_OeNB_9819070.png		118603272						
2657			Antonio Burriel	Q61993433	https://www.wikidata.org/wiki/Q61993433	Antonio Burriel	Hispanic priest and historian.				1056141999	1727-01-01T00:00:00Z	1798-01-01T00:00:00Z				
159	/m/0t5bn6z		Vincenzo Casagrandi	Q47034948	https://www.wikidata.org/wiki/Q47034948	Vincenzo Casagrandi						1847-09-18T00:00:00Z	1938-02-02T00:00:00Z	Lugo	44.416666666667,11.916666666667	Catania	37.502669444444,15.087269444444
104950			Johannes Hohl	Q2635597	https://www.wikidata.org/wiki/Q2635597	Johannes Hohl					1059754959	1813-02-23T00:00:00Z	1878-06-27T00:00:00Z				
104403			Friedrich Gustav Ehrhardt	Q61993434	https://www.wikidata.org/wiki/Q61993434	Friedrich Gustav Ehrhardt	Originally German, from 1834 in Switzerland, legal consultant of Nordostbahn				1061010325	1812-01-01T00:00:00Z	1896-01-01T00:00:00Z				
2865	/m/05s_l8z		Moritz Roth	Q121444	https://www.wikidata.org/wiki/Q121444	Moritz Roth	Swiss pathologist				1067977287	1839-12-25T00:00:00Z	1914-11-04T00:00:00Z	Basel	47.550555555556,7.5911111111111	Gottlieben	47.6643,9.1338111111111
104410	http://purl.org/net7/korbo2/ite/m/104410		Adolf Rudolf Holzhalb	Q40860440	https://www.wikidata.org/wiki/Q40860440	Adolf Rudolf Holzhalb				22446	1071415557	1835-07-13T00:00:00Z	1885-08-05T00:00:00Z	Zürich	47.378611111111,8.54	Riesbach	47.355,8.561
736	/m/0w79wpb		Emil von Förster	Q1337085	https://www.wikidata.org/wiki/Q1337085	Emil von Förster	Austrian architect	österreichischer Architekt des Historismus	https://upload.wikimedia.org/wikipedia/commons/f/f1/Emil_Ritter_von_F%C3%B6rster%2C_k._u._k._Baurath_1891_Th._Mayerhofer.png		14373539X	1838-10-18T00:00:00Z	1909-02-14T00:00:00Z	Vienna	48.20833,16.373064	Vienna	48.20833,16.373064
178	/m/0w46dnd		Theodor Ruthardt	Q61993435	https://www.wikidata.org/wiki/Q61993435	Theodor Ruthardt	"Theodor Ruthardt was a German auctioneer, art dealer and publisher. On 01/11/1860 the company ""Amsler and Ruthardt (Berlin)"				1073432807						
534	/m/0sxggbt		Hugo Richter	Q9294831	https://www.wikidata.org/wiki/Q9294831	Hugo Richter						1853-01-01T00:00:00Z					
1665	http://purl.org/net7/korbo2/ite/m/1665		Peter Vischer	Q63126104	https://www.wikidata.org/wiki/Q63126104	Peter Vischer	Peter Vischer-Passavant (1779-1851) was a Basel artist and collector.				1075762375	1779-01-01T00:00:00Z	1851-01-01T00:00:00Z	Basel	47.550555555556,7.5911111111111	Basel	47.550555555556,7.5911111111111
												1779-05-29T00:00:00Z	1851-07-28T00:00:00Z				
104888			Johann Heinrich Strumper	Q61993436	https://www.wikidata.org/wiki/Q61993436	Johann Heinrich Strumper					1082094307	1843-01-01T00:00:00Z	1913-01-01T00:00:00Z				
493	/m/0sxbzb_		Margaretha Salome Berri-Burckhardt	Q61993437	https://www.wikidata.org/wiki/Q61993437	Margaretha Salome Berri-Burckhardt					1089904894	1811-01-01T00:00:00Z	1873-01-01T00:00:00Z				
2020	http://purl.org/net7/korbo2/ite/m/2020		Felix Bertholet-Wagner	Q63126105	https://www.wikidata.org/wiki/Q63126105	Felix Bertholet-Wagner	Bertholet-Wagner, Felix (1830-1906)										
